 time           time           time           v(net6)       
 1.0515000e-05  1.0515000e-05  1.0515000e-05  8.2302040e-01 
 1.0535000e-05  1.0535000e-05  1.0535000e-05  8.6818852e-01 
 1.0575000e-05  1.0575000e-05  1.0575000e-05  1.0222300e+00 
 1.0625000e-05  1.0625000e-05  1.0625000e-05  1.1412525e+00 
 1.0675000e-05  1.0675000e-05  1.0675000e-05  1.1607249e+00 
 1.0725000e-05  1.0725000e-05  1.0725000e-05  1.1733186e+00 
 1.0775000e-05  1.0775000e-05  1.0775000e-05  1.1778234e+00 
 1.0825000e-05  1.0825000e-05  1.0825000e-05  1.1793419e+00 
 1.0875000e-05  1.0875000e-05  1.0875000e-05  1.1795125e+00 
 1.0925000e-05  1.0925000e-05  1.0925000e-05  1.1797077e+00 
 1.0975000e-05  1.0975000e-05  1.0975000e-05  1.1796659e+00 
 1.1000000e-05  1.1000000e-05  1.1000000e-05  1.1797040e+00 
 1.1005000e-05  1.1005000e-05  1.1005000e-05  1.1796984e+00 
 1.1015000e-05  1.1015000e-05  1.1015000e-05  1.1796918e+00 
 1.1035000e-05  1.1035000e-05  1.1035000e-05  1.1796887e+00 
 1.1075000e-05  1.1075000e-05  1.1075000e-05  1.1796860e+00 
 1.1125000e-05  1.1125000e-05  1.1125000e-05  1.1796851e+00 
 1.1175000e-05  1.1175000e-05  1.1175000e-05  1.1796850e+00 
 1.1225000e-05  1.1225000e-05  1.1225000e-05  1.1796849e+00 
 1.1275000e-05  1.1275000e-05  1.1275000e-05  1.1796849e+00 
 1.1325000e-05  1.1325000e-05  1.1325000e-05  1.1796849e+00 
 1.1375000e-05  1.1375000e-05  1.1375000e-05  1.1796849e+00 
 1.1425000e-05  1.1425000e-05  1.1425000e-05  1.1796849e+00 
 1.1475000e-05  1.1475000e-05  1.1475000e-05  1.1796849e+00 
 1.1525000e-05  1.1525000e-05  1.1525000e-05  1.1796849e+00 
 1.1575000e-05  1.1575000e-05  1.1575000e-05  1.1796849e+00 
 1.1625000e-05  1.1625000e-05  1.1625000e-05  1.1796849e+00 
 1.1675000e-05  1.1675000e-05  1.1675000e-05  1.1796849e+00 
 1.1725000e-05  1.1725000e-05  1.1725000e-05  1.1796849e+00 
 1.1775000e-05  1.1775000e-05  1.1775000e-05  1.1796849e+00 
 1.1825000e-05  1.1825000e-05  1.1825000e-05  1.1796849e+00 
 1.1875000e-05  1.1875000e-05  1.1875000e-05  1.1796849e+00 
 1.1925000e-05  1.1925000e-05  1.1925000e-05  1.1796849e+00 
 1.1975000e-05  1.1975000e-05  1.1975000e-05  1.1796849e+00 
 1.2025000e-05  1.2025000e-05  1.2025000e-05  1.1796849e+00 
 1.2075000e-05  1.2075000e-05  1.2075000e-05  1.1796849e+00 
 1.2125000e-05  1.2125000e-05  1.2125000e-05  1.1796849e+00 
 1.2175000e-05  1.2175000e-05  1.2175000e-05  1.1796849e+00 
 1.2225000e-05  1.2225000e-05  1.2225000e-05  1.1796849e+00 
 1.2275000e-05  1.2275000e-05  1.2275000e-05  1.1796849e+00 
 1.2325000e-05  1.2325000e-05  1.2325000e-05  1.1796849e+00 
 1.2375000e-05  1.2375000e-05  1.2375000e-05  1.1796849e+00 
 1.2425000e-05  1.2425000e-05  1.2425000e-05  1.1796849e+00 
 1.2475000e-05  1.2475000e-05  1.2475000e-05  1.1796849e+00 
 1.2525000e-05  1.2525000e-05  1.2525000e-05  1.1796849e+00 
 1.2575000e-05  1.2575000e-05  1.2575000e-05  1.1796849e+00 
 1.2625000e-05  1.2625000e-05  1.2625000e-05  1.1796849e+00 
 1.2675000e-05  1.2675000e-05  1.2675000e-05  1.1796849e+00 
 1.2725000e-05  1.2725000e-05  1.2725000e-05  1.1796849e+00 
 1.2775000e-05  1.2775000e-05  1.2775000e-05  1.1796849e+00 
 1.2825000e-05  1.2825000e-05  1.2825000e-05  1.1796849e+00 
 1.2875000e-05  1.2875000e-05  1.2875000e-05  1.1796849e+00 
 1.2925000e-05  1.2925000e-05  1.2925000e-05  1.1796849e+00 
 1.2975000e-05  1.2975000e-05  1.2975000e-05  1.1796849e+00 
 1.3025000e-05  1.3025000e-05  1.3025000e-05  1.1796849e+00 
 1.3075000e-05  1.3075000e-05  1.3075000e-05  1.1796849e+00 
 1.3125000e-05  1.3125000e-05  1.3125000e-05  1.1796849e+00 
 1.3175000e-05  1.3175000e-05  1.3175000e-05  1.1796849e+00 
 1.3225000e-05  1.3225000e-05  1.3225000e-05  1.1796849e+00 
 1.3275000e-05  1.3275000e-05  1.3275000e-05  1.1796849e+00 
 1.3325000e-05  1.3325000e-05  1.3325000e-05  1.1796849e+00 
 1.3375000e-05  1.3375000e-05  1.3375000e-05  1.1796849e+00 
 1.3425000e-05  1.3425000e-05  1.3425000e-05  1.1796849e+00 
 1.3475000e-05  1.3475000e-05  1.3475000e-05  1.1796849e+00 
 1.3525000e-05  1.3525000e-05  1.3525000e-05  1.1796849e+00 
 1.3575000e-05  1.3575000e-05  1.3575000e-05  1.1796849e+00 
 1.3625000e-05  1.3625000e-05  1.3625000e-05  1.1796849e+00 
 1.3675000e-05  1.3675000e-05  1.3675000e-05  1.1796849e+00 
 1.3725000e-05  1.3725000e-05  1.3725000e-05  1.1796849e+00 
 1.3775000e-05  1.3775000e-05  1.3775000e-05  1.1796849e+00 
 1.3825000e-05  1.3825000e-05  1.3825000e-05  1.1796849e+00 
 1.3875000e-05  1.3875000e-05  1.3875000e-05  1.1796849e+00 
 1.3925000e-05  1.3925000e-05  1.3925000e-05  1.1796849e+00 
 1.3975000e-05  1.3975000e-05  1.3975000e-05  1.1796849e+00 
 1.4025000e-05  1.4025000e-05  1.4025000e-05  1.1796849e+00 
 1.4075000e-05  1.4075000e-05  1.4075000e-05  1.1796849e+00 
 1.4125000e-05  1.4125000e-05  1.4125000e-05  1.1796849e+00 
 1.4175000e-05  1.4175000e-05  1.4175000e-05  1.1796849e+00 
