 time           time           time           v(net6)       
 9.0435269e-06  9.0435269e-06  9.0435269e-06  3.0099430e-03 
 9.0935269e-06  9.0935269e-06  9.0935269e-06  3.0099051e-03 
 9.1435269e-06  9.1435269e-06  9.1435269e-06  3.0099378e-03 
 9.1935269e-06  9.1935269e-06  9.1935269e-06  3.0099093e-03 
 9.2435269e-06  9.2435269e-06  9.2435269e-06  3.0099341e-03 
 9.2935269e-06  9.2935269e-06  9.2935269e-06  3.0099124e-03 
 9.3435269e-06  9.3435269e-06  9.3435269e-06  3.0099314e-03 
 9.3935269e-06  9.3935269e-06  9.3935269e-06  3.0099146e-03 
 9.4435269e-06  9.4435269e-06  9.4435269e-06  3.0099295e-03 
 9.4935269e-06  9.4935269e-06  9.4935269e-06  3.0099162e-03 
 9.5435269e-06  9.5435269e-06  9.5435269e-06  3.0099281e-03 
 9.5935269e-06  9.5935269e-06  9.5935269e-06  3.0099173e-03 
 9.6435269e-06  9.6435269e-06  9.6435269e-06  3.0099272e-03 
 9.6935269e-06  9.6935269e-06  9.6935269e-06  3.0099181e-03 
 9.7435269e-06  9.7435269e-06  9.7435269e-06  3.0099265e-03 
 9.7935269e-06  9.7935269e-06  9.7935269e-06  3.0099187e-03 
 9.8435269e-06  9.8435269e-06  9.8435269e-06  3.0099260e-03 
 9.8935269e-06  9.8935269e-06  9.8935269e-06  3.0099191e-03 
 9.9435269e-06  9.9435269e-06  9.9435269e-06  3.0099256e-03 
 9.9935269e-06  9.9935269e-06  9.9935269e-06  3.0099194e-03 
 1.0043527e-05  1.0043527e-05  1.0043527e-05  3.0099254e-03 
 1.0093527e-05  1.0093527e-05  1.0093527e-05  3.0099196e-03 
 1.0143527e-05  1.0143527e-05  1.0143527e-05  3.0099253e-03 
 1.0193527e-05  1.0193527e-05  1.0193527e-05  3.0099197e-03 
 1.0243527e-05  1.0243527e-05  1.0243527e-05  3.0099252e-03 
 1.0293527e-05  1.0293527e-05  1.0293527e-05  3.0099198e-03 
 1.0343527e-05  1.0343527e-05  1.0343527e-05  3.0099251e-03 
 1.0393527e-05  1.0393527e-05  1.0393527e-05  3.0099198e-03 
 1.0443527e-05  1.0443527e-05  1.0443527e-05  3.0099251e-03 
 1.0493527e-05  1.0493527e-05  1.0493527e-05  3.0099198e-03 
 1.0500000e-05  1.0500000e-05  1.0500000e-05  3.0099251e-03 
 1.0501005e-05  1.0501005e-05  1.0501005e-05  2.9417163e-03 
 1.0503015e-05  1.0503015e-05  1.0503015e-05  2.7183507e-03 
 1.0507035e-05  1.0507035e-05  1.0507035e-05  2.1489791e-03 
 1.0511855e-05  1.0511855e-05  1.0511855e-05  1.8453973e-03 
 1.0517251e-05  1.0517251e-05  1.0517251e-05  2.3461750e-03 
 1.0526299e-05  1.0526299e-05  1.0526299e-05  5.7210322e-03 
 1.0542000e-05  1.0542000e-05  1.0542000e-05  2.1809463e-02 
 1.0557663e-05  1.0557663e-05  1.0557663e-05  5.3598860e-02 
 1.0575531e-05  1.0575531e-05  1.0575531e-05  9.7889099e-02 
 1.0587062e-05  1.0587062e-05  1.0587062e-05  1.2619449e-01 
 1.0601937e-05  1.0601937e-05  1.0601937e-05  1.6593984e-01 
 1.0621458e-05  1.0621458e-05  1.0621458e-05  2.2511526e-01 
 1.0660499e-05  1.0660499e-05  1.0660499e-05  3.6401817e-01 
 1.0710499e-05  1.0710499e-05  1.0710499e-05  5.5915091e-01 
 1.0760499e-05  1.0760499e-05  1.0760499e-05  7.1415222e-01 
 1.0810499e-05  1.0810499e-05  1.0810499e-05  7.8835699e-01 
 1.0860499e-05  1.0860499e-05  1.0860499e-05  8.0954854e-01 
 1.0910499e-05  1.0910499e-05  1.0910499e-05  8.1416459e-01 
 1.0960499e-05  1.0960499e-05  1.0960499e-05  8.1499345e-01 
 1.1000000e-05  1.1000000e-05  1.1000000e-05  8.1503995e-01 
 1.1005000e-05  1.1005000e-05  1.1005000e-05  8.1501289e-01 
 1.1015000e-05  1.1015000e-05  1.1015000e-05  8.1497681e-01 
 1.1035000e-05  1.1035000e-05  1.1035000e-05  8.1494744e-01 
 1.1075000e-05  1.1075000e-05  1.1075000e-05  8.1491546e-01 
 1.1125000e-05  1.1125000e-05  1.1125000e-05  8.1490741e-01 
 1.1175000e-05  1.1175000e-05  1.1175000e-05  8.1490526e-01 
 1.1225000e-05  1.1225000e-05  1.1225000e-05  8.1490566e-01 
 1.1275000e-05  1.1275000e-05  1.1275000e-05  8.1490519e-01 
 1.1325000e-05  1.1325000e-05  1.1325000e-05  8.1490550e-01 
 1.1375000e-05  1.1375000e-05  1.1375000e-05  8.1490528e-01 
 1.1425000e-05  1.1425000e-05  1.1425000e-05  8.1490543e-01 
 1.1475000e-05  1.1475000e-05  1.1475000e-05  8.1490533e-01 
 1.1525000e-05  1.1525000e-05  1.1525000e-05  8.1490539e-01 
 1.1575000e-05  1.1575000e-05  1.1575000e-05  8.1490536e-01 
 1.1625000e-05  1.1625000e-05  1.1625000e-05  8.1490537e-01 
 1.1675000e-05  1.1675000e-05  1.1675000e-05  8.1490538e-01 
 1.1725000e-05  1.1725000e-05  1.1725000e-05  8.1490536e-01 
 1.1775000e-05  1.1775000e-05  1.1775000e-05  8.1490539e-01 
 1.1825000e-05  1.1825000e-05  1.1825000e-05  8.1490535e-01 
 1.1875000e-05  1.1875000e-05  1.1875000e-05  8.1490539e-01 
 1.1925000e-05  1.1925000e-05  1.1925000e-05  8.1490535e-01 
 1.1975000e-05  1.1975000e-05  1.1975000e-05  8.1490540e-01 
 1.2025000e-05  1.2025000e-05  1.2025000e-05  8.1490535e-01 
 1.2075000e-05  1.2075000e-05  1.2075000e-05  8.1490540e-01 
 1.2125000e-05  1.2125000e-05  1.2125000e-05  8.1490535e-01 
 1.2175000e-05  1.2175000e-05  1.2175000e-05  8.1490540e-01 
 1.2225000e-05  1.2225000e-05  1.2225000e-05  8.1490535e-01 
 1.2275000e-05  1.2275000e-05  1.2275000e-05  8.1490540e-01 
 1.2325000e-05  1.2325000e-05  1.2325000e-05  8.1490535e-01 
 1.2375000e-05  1.2375000e-05  1.2375000e-05  8.1490540e-01 
 1.2425000e-05  1.2425000e-05  1.2425000e-05  8.1490535e-01 
 1.2475000e-05  1.2475000e-05  1.2475000e-05  8.1490540e-01 
 1.2525000e-05  1.2525000e-05  1.2525000e-05  8.1490535e-01 
 1.2575000e-05  1.2575000e-05  1.2575000e-05  8.1490540e-01 
 1.2625000e-05  1.2625000e-05  1.2625000e-05  8.1490535e-01 
 1.2675000e-05  1.2675000e-05  1.2675000e-05  8.1490540e-01 
 1.2725000e-05  1.2725000e-05  1.2725000e-05  8.1490535e-01 
 1.2775000e-05  1.2775000e-05  1.2775000e-05  8.1490540e-01 
 1.2825000e-05  1.2825000e-05  1.2825000e-05  8.1490535e-01 
 1.2875000e-05  1.2875000e-05  1.2875000e-05  8.1490540e-01 
 1.2925000e-05  1.2925000e-05  1.2925000e-05  8.1490535e-01 
 1.2975000e-05  1.2975000e-05  1.2975000e-05  8.1490540e-01 
 1.3025000e-05  1.3025000e-05  1.3025000e-05  8.1490535e-01 
 1.3075000e-05  1.3075000e-05  1.3075000e-05  8.1490540e-01 
 1.3125000e-05  1.3125000e-05  1.3125000e-05  8.1490535e-01 
 1.3175000e-05  1.3175000e-05  1.3175000e-05  8.1490540e-01 
 1.3225000e-05  1.3225000e-05  1.3225000e-05  8.1490535e-01 
 1.3275000e-05  1.3275000e-05  1.3275000e-05  8.1490540e-01 
 1.3325000e-05  1.3325000e-05  1.3325000e-05  8.1490535e-01 
 1.3375000e-05  1.3375000e-05  1.3375000e-05  8.1490540e-01 
 1.3425000e-05  1.3425000e-05  1.3425000e-05  8.1490535e-01 
 1.3475000e-05  1.3475000e-05  1.3475000e-05  8.1490540e-01 
 1.3525000e-05  1.3525000e-05  1.3525000e-05  8.1490535e-01 
 1.3575000e-05  1.3575000e-05  1.3575000e-05  8.1490540e-01 
 1.3625000e-05  1.3625000e-05  1.3625000e-05  8.1490535e-01 
 1.3675000e-05  1.3675000e-05  1.3675000e-05  8.1490539e-01 
 1.3725000e-05  1.3725000e-05  1.3725000e-05  8.1490535e-01 
 1.3775000e-05  1.3775000e-05  1.3775000e-05  8.1490539e-01 
 1.3825000e-05  1.3825000e-05  1.3825000e-05  8.1490535e-01 
 1.3875000e-05  1.3875000e-05  1.3875000e-05  8.1490539e-01 
 1.3925000e-05  1.3925000e-05  1.3925000e-05  8.1490535e-01 
 1.3975000e-05  1.3975000e-05  1.3975000e-05  8.1490539e-01 
 1.4025000e-05  1.4025000e-05  1.4025000e-05  8.1490535e-01 
 1.4075000e-05  1.4075000e-05  1.4075000e-05  8.1490539e-01 
 1.4125000e-05  1.4125000e-05  1.4125000e-05  8.1490535e-01 
 1.4175000e-05  1.4175000e-05  1.4175000e-05  8.1490539e-01 
 1.4225000e-05  1.4225000e-05  1.4225000e-05  8.1490535e-01 
 1.4275000e-05  1.4275000e-05  1.4275000e-05  8.1490539e-01 
 1.4325000e-05  1.4325000e-05  1.4325000e-05  8.1490535e-01 
 1.4375000e-05  1.4375000e-05  1.4375000e-05  8.1490539e-01 
 1.4425000e-05  1.4425000e-05  1.4425000e-05  8.1490535e-01 
 1.4475000e-05  1.4475000e-05  1.4475000e-05  8.1490539e-01 
 1.4525000e-05  1.4525000e-05  1.4525000e-05  8.1490535e-01 
 1.4575000e-05  1.4575000e-05  1.4575000e-05  8.1490539e-01 
 1.4625000e-05  1.4625000e-05  1.4625000e-05  8.1490535e-01 
 1.4675000e-05  1.4675000e-05  1.4675000e-05  8.1490539e-01 
 1.4725000e-05  1.4725000e-05  1.4725000e-05  8.1490535e-01 
 1.4775000e-05  1.4775000e-05  1.4775000e-05  8.1490539e-01 
 1.4825000e-05  1.4825000e-05  1.4825000e-05  8.1490535e-01 
 1.4875000e-05  1.4875000e-05  1.4875000e-05  8.1490539e-01 
 1.4925000e-05  1.4925000e-05  1.4925000e-05  8.1490535e-01 
 1.4975000e-05  1.4975000e-05  1.4975000e-05  8.1490539e-01 
